"series","cumulative_flops","ppl","log10_flops","log10_ppl"
"vanilla_lr1.0e-03","58129278566400","12.299794064704377","13.764394933027337","1.0898978401132815"
"vanilla_lr1.0e-03","58129278566400","12.299794064704377","13.764394933027337","1.0898978401132815"
"vanilla_lr1.0e-03","116258557132800","12.055856886375441","14.065424928691318","1.081198083879706"
"vanilla_lr1.0e-03","116258557132800","12.055856886375441","14.065424928691318","1.081198083879706"
"vanilla_lr1.0e-03","174387835699200","10.982922454416856","14.241516187747","1.0407179172497643"
"vanilla_lr1.0e-03","174387835699200","10.982922454416856","14.241516187747","1.0407179172497643"
"vanilla_lr1.0e-03","232517114265600","9.071647968983966","14.366454924355299","0.9576861888047743"
"vanilla_lr1.0e-03","232517114265600","9.071647968983966","14.366454924355299","0.9576861888047743"
"vanilla_lr1.0e-03","290646392832000","8.089285506716667","14.463364937363355","0.9079101638627436"
"vanilla_lr1.0e-03","290646392832000","8.089285506716667","14.463364937363355","0.9079101638627436"
"vanilla_lr1.0e-03","348775671398400","7.064538286298821","14.54254618341098","0.8490837831321876"
"vanilla_lr1.0e-03","348775671398400","7.064538286298821","14.54254618341098","0.8490837831321876"
"vanilla_lr1.0e-03","406904949964800","6.513885030456573","14.609492973041593","0.8138400890340538"
"vanilla_lr1.0e-03","406904949964800","6.513885030456573","14.609492973041593","0.8138400890340538"
"vanilla_lr1.0e-03","465034228531200","6.116386607163074","14.66748492001928","0.7864949286780009"
"vanilla_lr1.0e-03","465034228531200","6.116386607163074","14.66748492001928","0.7864949286780009"
"vanilla_lr1.0e-03","523163507097600","5.907066771941074","14.718637442466662","0.7713718800370014"
"vanilla_lr1.0e-03","523163507097600","5.907066771941074","14.718637442466662","0.7713718800370014"
"vanilla_lr1.0e-03","581292785664000","5.57254043682362","14.764394933027337","0.7460532285969854"
"vanilla_lr1.0e-03","581292785664000","5.57254043682362","14.764394933027337","0.7460532285969854"
"vanilla_lr1.0e-03","639422064230400","5.382653160199608","14.805787618185562","0.730996396262953"
"vanilla_lr1.0e-03","639422064230400","5.382653160199608","14.805787618185562","0.730996396262953"
"vanilla_lr1.0e-03","697551342796800","5.215308976311046","14.843576179074962","0.7172800429124944"
"vanilla_lr1.0e-03","697551342796800","5.215308976311046","14.843576179074962","0.7172800429124944"
"vanilla_lr1.0e-03","755680621363200","5.142879096163838","14.878338285334173","0.7112063146212876"
"vanilla_lr1.0e-03","755680621363200","5.142879096163838","14.878338285334173","0.7112063146212876"
"vanilla_lr1.0e-03","813809899929600","4.927888018398535","14.910522968705575","0.6926608303365323"
"vanilla_lr1.0e-03","813809899929600","4.927888018398535","14.910522968705575","0.6926608303365323"
"vanilla_lr1.0e-03","871939178496000","4.880340986493039","14.940486192083018","0.6884501669573788"
"vanilla_lr1.0e-03","871939178496000","4.880340986493039","14.940486192083018","0.6884501669573788"
"vanilla_lr1.0e-03","930068457062400","4.8413916039991545","14.968514915683262","0.6849702126920119"
"vanilla_lr1.0e-03","930068457062400","4.8413916039991545","14.968514915683262","0.6849702126920119"
"vanilla_lr1.0e-03","988197735628800","4.707566977779805","14.99484385440561","0.67279650773772"
"vanilla_lr1.0e-03","988197735628800","4.707566977779805","14.99484385440561","0.67279650773772"
"vanilla_lr1.0e-03","1046327014195200","4.609411779139634","15.019667438130643","0.6636455073043594"
"vanilla_lr1.0e-03","1046327014195200","4.609411779139634","15.019667438130643","0.6636455073043594"
"vanilla_lr1.0e-03","1104456292761600","4.565657595739429","15.043148533980165","0.6595033381973854"
"vanilla_lr1.0e-03","1104456292761600","4.565657595739429","15.043148533980165","0.6595033381973854"
"vanilla_lr1.0e-03","1162585571328000","4.519074510439813","15.065424928691318","0.6550495020318174"
"vanilla_lr1.0e-03","1162585571328000","4.519074510439813","15.065424928691318","0.6550495020318174"
"vanilla_lr1.0e-03","1220714849894400","4.566885086857458","15.086614227761256","0.6596200839145167"
"vanilla_lr1.0e-03","1220714849894400","4.566885086857458","15.086614227761256","0.6596200839145167"
"vanilla_lr1.0e-03","1278844128460800","4.476081259752198","15.106817613849543","0.650897962204311"
"vanilla_lr1.0e-03","1278844128460800","4.476081259752198","15.106817613849543","0.650897962204311"
"vanilla_lr1.0e-03","1336973407027200","4.460202625386753","15.12612276904493","0.6493545890010313"
"vanilla_lr1.0e-03","1336973407027200","4.460202625386753","15.12612276904493","0.6493545890010313"
"vanilla_lr1.0e-03","1395102685593600","4.424516120126718","15.144606174738943","0.6458657817344984"
"vanilla_lr1.0e-03","1395102685593600","4.424516120126718","15.144606174738943","0.6458657817344984"
"vanilla_lr1.0e-03","1453231964160000","4.4873846815114256","15.162334941699374","0.6519933010678777"
"vanilla_lr1.0e-03","1453231964160000","4.4873846815114256","15.162334941699374","0.6519933010678777"
"vanilla_lr1.0e-03","1511361242726400","4.390071702397487","15.179368280998155","0.6424716135681496"
"vanilla_lr1.0e-03","1511361242726400","4.390071702397487","15.179368280998155","0.6424716135681496"
"vanilla_lr1.0e-03","1569490521292800","4.428014452307694","15.195758697186324","0.6462090296744447"
"vanilla_lr1.0e-03","1569490521292800","4.428014452307694","15.195758697186324","0.6462090296744447"
"vanilla_lr1.0e-03","1627619799859200","4.396338425420049","15.211552964369556","0.643091116562026"
"vanilla_lr1.0e-03","1627619799859200","4.396338425420049","15.211552964369556","0.643091116562026"
"vanilla_lr1.0e-03","1685749078425600","4.376264794025762","15.226792930926292","0.6411035919142816"
"vanilla_lr1.0e-03","1685749078425600","4.376264794025762","15.226792930926292","0.6411035919142816"
